vpID,scenID,choice,locPos,note,prozent,anzahl,photoID,sex,geschlecht,alter,internetnutzung,arztbesuche,
chhe10,30,,2,1.9,74,40,21,f,f,50,4,3,
chhe10,30,3,3,2.4,77,33,17,f,f,50,4,3,
chhe10,30,,4,2.3,74,91,,f,f,50,4,3,
chhe10,27,,1,1.8,87,119,,f,f,50,4,3,
chhe10,27,2,2,1.6,92,44,30,m,f,50,4,3,
chhe10,27,,3,1.5,80,29,21,f,f,50,4,3,
chhe10,27,,4,1.6,80,96,,m,f,50,4,3,
chhe10,11,,1,1.3,99,14,,m,f,50,4,3,
chhe10,11,,2,1.0,95,15,,f,f,50,4,3,
chhe10,11,,3,2.1,69,46,,m,f,50,4,3,
chhe10,11,4,4,1.9,70,32,,f,f,50,4,3,
chhe10,41,,1,1.7,84,95,,f,f,50,4,3,
chhe10,41,,2,1.2,98,79,41,m,f,50,4,3,
chhe10,41,,3,1.7,92,117,,m,f,50,4,3,
chhe10,41,4,4,1.3,99,87,15,f,f,50,4,3,
chhe10,31,,1,2.0,75,14,21,f,f,50,4,3,
chhe10,31,,2,2.1,78,74,,m,f,50,4,3,
chhe10,31,,3,2.0,67,10,28,m,f,50,4,3,
chhe10,31,4,4,2.4,68,109,,f,f,50,4,3,
chhe10,37,1,1,1.3,97,34,29,m,f,50,4,3,
chhe10,37,,2,2.1,76,25,,f,f,50,4,3,
chhe10,37,,3,2.2,79,32,,f,f,50,4,3,
chhe10,37,,4,1.0,100,23,34,m,f,50,4,3,
chhe10,29,,1,1.8,92,9,22,f,f,50,4,3,
chhe10,29,,2,1.8,93,5,35,m,f,50,4,3,
chhe10,29,3,3,1.4,94,27,,f,f,50,4,3,
chhe10,29,,4,1.5,93,37,,m,f,50,4,3,
chhe10,36,1,1,1.6,80,47,39,m,f,50,4,3,
chhe10,36,,2,1.9,70,38,,f,f,50,4,3,
chhe10,36,,3,1.9,72,20,,m,f,50,4,3,
chhe10,36,,4,1.8,92,38,30,m,f,50,4,3,
chhe10,26,,1,1.0,97,12,39,m,f,50,4,3,
chhe10,26,,2,1.2,96,6,36,m,f,50,4,3,
chhe10,26,3,3,1.3,99,43,,f,f,50,4,3,
chhe10,26,,4,1.2,97,38,,m,f,50,4,3,
chhe10,22,,1,1.7,86,75,36,m,f,50,4,3,
chhe10,22,,2,1.0,95,6,25,m,f,50,4,3,
chhe10,22,,3,1.1,100,10,13,f,f,50,4,3,
chhe10,22,4,4,1.8,93,100,38,m,f,50,4,3,
chhe10,20,,1,2.1,68,24,37,m,f,50,4,3,
chhe10,20,2,2,1.1,99,14,38,m,f,50,4,3,
chhe10,20,,3,2.3,68,26,23,f,f,50,4,3,
chhe10,20,,4,1.3,100,9,26,m,f,50,4,3,
chhe10,13,,1,1.2,100,13,,m,f,50,4,3,
chhe10,13,,2,1.6,94,93,,m,f,50,4,3,
chhe10,13,3,3,1.6,91,105,,m,f,50,4,3,
chhe10,13,,4,1.3,95,5,,f,f,50,4,3,
chhe10,24,1,1,1.1,97,98,,m,f,50,4,3,
chhe10,24,,2,1.1,98,43,25,m,f,50,4,3,
chhe10,24,,3,1.2,98,95,,m,f,50,4,3,
chhe10,24,,4,1.3,97,24,20,f,f,50,4,3,
chhe10,21,,1,1.3,100,27,19,f,f,50,4,3,
chhe10,21,,2,1.1,96,20,41,m,f,50,4,3,
chhe10,21,,3,1.5,87,113,27,m,f,50,4,3,
chhe10,21,4,4,1.4,93,99,18,f,f,50,4,3,
chhe10,33,,1,2.2,79,14,,f,f,50,4,3,
chhe10,33,,2,1.5,83,15,27,m,f,50,4,3,
chhe10,33,,3,2.1,78,10,,m,f,50,4,3,
chhe10,33,4,4,1.6,90,7,22,f,f,50,4,3,
chhe10,39,,1,1.5,94,103,38,m,f,50,4,3,
chhe10,39,,2,2.1,71,83,,f,f,50,4,3,
chhe10,39,,3,2.4,79,104,,m,f,50,4,3,
chhe10,39,4,4,1.8,94,118,31,m,f,50,4,3,
chhe10,14,1,1,1.0,95,12,,m,f,50,4,3,
chhe10,14,,2,1.6,86,43,,m,f,50,4,3,
