vpID,scenID,choice,locPos,note,prozent,anzahl,photoID,sex,
BEUT31,13,,3,1.5,93,105,,f,
BEUT31,13,,4,1.2,100,8,,f,
BEUT31,37,,1,1.1,96,31,36,m,
BEUT31,37,,2,2.2,76,40,,m,
BEUT31,37,3,3,1.1,97,43,38,m,
BEUT31,37,,4,2.3,69,41,,m,
BEUT31,12,1,1,1.0,95,45,,m,
BEUT31,12,,2,1.1,96,22,,m,
BEUT31,12,,3,1.6,86,76,,f,
BEUT31,12,,4,1.5,92,103,,f,
BEUT31,15,,1,1.6,80,38,36,m,
BEUT31,15,,2,1.9,67,78,19,f,
BEUT31,15,3,3,1.7,82,35,14,f,
BEUT31,15,,4,2.1,75,114,11,f,
BEUT31,20,,1,1.2,96,8,21,f,
BEUT31,20,,2,2.3,79,28,25,m,
BEUT31,20,,3,2.3,67,33,16,f,
BEUT31,20,4,4,1.3,100,15,27,m,
BEUT31,10,1,1,1.7,92,6,,m,
BEUT31,10,,2,1.7,89,11,,m,
BEUT31,10,,3,2.3,77,27,,m,
BEUT31,10,,4,2.2,71,35,,m,
BEUT31,17,,1,1.2,96,31,14,f,
BEUT31,17,,2,1.9,68,102,22,f,
BEUT31,17,,3,2.0,79,105,39,m,
BEUT31,17,4,4,1.2,97,33,38,m,
BEUT31,7,,1,2.0,77,117,,f,
BEUT31,7,2,2,1.9,70,109,,m,
BEUT31,7,,3,1.4,82,12,,f,
BEUT31,7,,4,1.4,84,9,,m,
BEUT31,29,,1,1.4,86,5,41,m,
BEUT31,29,,2,1.5,91,12,15,f,
BEUT31,29,3,3,1.4,87,50,,m,
BEUT31,29,,4,1.5,80,43,,f,
BEUT31,21,,1,1.0,100,29,36,m,
BEUT31,21,2,2,1.1,99,48,38,m,
BEUT31,21,,3,1.4,85,116,34,m,
BEUT31,21,,4,1.5,89,75,13,f,
BEUT31,8,,1,2.1,78,101,,f,
BEUT31,8,,2,2.1,66,83,,f,
BEUT31,8,3,3,1.3,99,31,,f,
BEUT31,8,,4,1.3,99,23,,m,
BEUT31,32,1,1,1.9,70,40,,m,
BEUT31,32,,2,2.0,75,27,,m,
BEUT31,32,,3,2.0,72,38,,m,
BEUT31,32,,4,2.0,67,5,29,m,
BEUT31,28,,1,1.6,93,7,11,f,
BEUT31,28,,2,1.7,92,110,,f,
BEUT31,28,,3,1.5,82,6,15,f,
BEUT31,28,4,4,1.4,87,85,,m,
BEUT31,18,,1,2.0,75,87,37,m,
BEUT31,18,,2,1.2,99,6,18,f,
BEUT31,18,,3,2.0,66,95,23,f,
BEUT31,18,4,4,1.0,98,11,24,f,
BEUT31,34,,1,1.0,96,10,12,f,
BEUT31,34,,2,2.4,78,7,,f,
BEUT31,34,3,3,1.0,100,15,32,m,
BEUT31,34,,4,1.9,68,7,,m,
BEUT31,36,,1,2.1,67,39,,m,
BEUT31,36,,2,2.1,77,49,,m,
BEUT31,36,3,3,1.8,87,49,21,f,
BEUT31,36,,4,1.7,80,46,20,f,
BEUT31,30,,1,2.1,76,97,,f,
BEUT31,30,2,2,2.0,76,94,,m,
BEUT31,30,,3,1.9,71,30,41,m,
BEUT31,30,,4,2.4,76,36,35,m,
BEUT31,25,,1,1.3,98,15,41,m,
BEUT31,25,,2,1.1,96,98,,f,
BEUT31,25,3,3,1.0,100,88,,f,
BEUT31,25,,4,1.3,96,10,40,m,
BEUT31,19,,1,1.6,92,5,14,f,
BEUT31,19,2,2,1.5,83,14,41,m,
BEUT31,19,,3,2.0,72,39,30,m,
BEUT31,19,,4,2.2,72,46,40,m,
BEUT31,31,,1,2.3,67,15,18,f,
BEUT31,31,2,2,1.9,72,96,,f,
BEUT31,31,,3,2.1,71,76,,f,
BEUT31,31,,4,2.1,73,5,24,f,
biwe28,21,,1,1.5,80,113,14,f,
biwe28,21,,2,1.6,86,94,13,f,
biwe28,21,3,3,1.2,96,43,34,m,
biwe28,21,,4,1.3,98,32,28,m,
biwe28,37,,1,2.2,78,46,,f,
biwe28,37,,2,1.1,96,37,18,f,
biwe28,37,,3,2.0,78,44,,f,
biwe28,37,4,4,1.0,100,32,11,f,
biwe28,6,,1,1.9,66,101,,f,
biwe28,6,2,2,1.5,87,24,,m,
biwe28,6,,3,2.1,79,87,,f,
biwe28,6,,4,1.5,81,24,,m,
biwe28,25,1,1,1.1,99,6,16,f,
biwe28,25,,2,1.3,95,5,23,f,
biwe28,25,,3,1.3,99,82,,m,
biwe28,25,,4,1.1,96,91,,f,
